scenario,time_s,x,bot,area,vttc_s,corridor,fuzzy_risk,fuzzy_risk_class,fuzzy_command,crisp_risk,crisp_risk_class,crisp_command,same_risk_class,same_command
frontal_static_obstacle,0.0,0.5,0.25,0.03,8.0,False,0.1365,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,0.2,0.5013,0.257,0.0307,7.93,False,0.1365,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,0.4,0.5025,0.264,0.0318,7.86,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,0.6,0.5037,0.271,0.0331,7.79,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,0.8,0.505,0.278,0.0345,7.72,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,1.0,0.5062,0.285,0.0361,7.65,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,1.2,0.5074,0.292,0.0378,7.58,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,1.4,0.5085,0.299,0.0397,7.51,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,1.6,0.5096,0.306,0.0416,7.44,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,1.8,0.5107,0.313,0.0436,7.37,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,2.0,0.5118,0.32,0.0456,7.3,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,2.2,0.5127,0.327,0.0478,7.23,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,2.4,0.5137,0.334,0.05,7.16,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,2.6,0.5146,0.341,0.0523,7.09,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,2.8,0.5154,0.348,0.0546,7.02,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,3.0,0.5162,0.355,0.057,6.95,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,3.2,0.5169,0.362,0.0595,6.88,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,3.4,0.5175,0.369,0.062,6.81,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,3.6,0.5181,0.376,0.0646,6.74,False,0.145,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,3.8,0.5186,0.383,0.0672,6.67,False,0.1476,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,4.0,0.519,0.39,0.0699,6.6,False,0.1616,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,4.2,0.5194,0.397,0.0726,6.53,False,0.1754,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,4.4,0.5196,0.404,0.0753,6.46,True,0.2137,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,4.6,0.5198,0.411,0.0781,6.39,True,0.2271,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,4.8,0.52,0.418,0.081,6.32,True,0.2423,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,5.0,0.52,0.425,0.0839,6.25,True,0.2578,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,5.2,0.52,0.432,0.0868,6.18,True,0.2724,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,5.4,0.5198,0.439,0.0898,6.11,True,0.2749,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,5.6,0.5196,0.446,0.0928,6.04,True,0.277,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,5.8,0.5194,0.453,0.0958,5.97,True,0.2832,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,6.0,0.519,0.46,0.0989,5.9,True,0.2951,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
frontal_static_obstacle,6.2,0.5186,0.467,0.102,5.83,True,0.3073,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,6.4,0.5181,0.474,0.1052,5.76,True,0.3199,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,6.6,0.5175,0.481,0.1084,5.69,True,0.3332,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,6.8,0.5169,0.488,0.1116,5.62,True,0.347,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,7.0,0.5162,0.495,0.1148,5.55,True,0.3615,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,7.2,0.5154,0.502,0.1181,5.48,True,0.3765,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,7.4,0.5146,0.509,0.1214,5.41,True,0.392,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,7.6,0.5137,0.516,0.1248,5.34,True,0.4082,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,7.8,0.5127,0.523,0.1282,5.27,True,0.4249,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,8.0,0.5118,0.53,0.1316,5.2,True,0.4422,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,8.2,0.5107,0.537,0.135,5.13,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
frontal_static_obstacle,8.4,0.5096,0.544,0.1385,5.06,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
frontal_static_obstacle,8.6,0.5085,0.551,0.142,4.99,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
frontal_static_obstacle,8.8,0.5074,0.558,0.1455,4.92,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
frontal_static_obstacle,9.0,0.5062,0.565,0.1491,4.85,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
frontal_static_obstacle,9.2,0.505,0.572,0.1527,4.78,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
frontal_static_obstacle,9.4,0.5037,0.579,0.1563,4.71,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
frontal_static_obstacle,9.6,0.5025,0.586,0.1599,4.64,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,9.8,0.5013,0.593,0.1636,4.57,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,10.0,0.5,0.6,0.1673,4.5,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,10.2,0.4987,0.607,0.171,4.43,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,10.4,0.4975,0.614,0.1748,4.36,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,10.6,0.4963,0.621,0.1785,4.29,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,10.8,0.495,0.628,0.1823,4.22,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,11.0,0.4938,0.635,0.1862,4.15,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,11.2,0.4926,0.642,0.19,4.08,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,11.4,0.4915,0.649,0.1939,4.01,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,11.6,0.4904,0.656,0.1978,3.94,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,11.8,0.4893,0.663,0.2017,3.87,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,12.0,0.4882,0.67,0.2056,3.8,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,12.2,0.4873,0.677,0.2096,3.73,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,12.4,0.4863,0.684,0.2136,3.66,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,12.6,0.4854,0.691,0.2176,3.59,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,12.8,0.4846,0.698,0.2216,3.52,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,13.0,0.4838,0.705,0.2257,3.45,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,13.2,0.4831,0.712,0.2297,3.38,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,13.4,0.4825,0.719,0.2338,3.31,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,13.6,0.4819,0.726,0.2379,3.24,True,0.4829,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,13.8,0.4814,0.733,0.2421,3.17,True,0.5163,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,14.0,0.481,0.74,0.2462,3.1,True,0.5468,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,14.2,0.4806,0.747,0.2504,3.03,True,0.5749,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
frontal_static_obstacle,14.4,0.4804,0.754,0.2546,2.96,True,0.6011,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,14.6,0.4802,0.761,0.2589,2.89,True,0.6262,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,14.8,0.48,0.768,0.2631,2.82,True,0.6398,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,15.0,0.48,0.775,0.2674,2.75,True,0.6378,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,15.2,0.48,0.782,0.2716,2.68,True,0.6359,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,15.4,0.4802,0.789,0.2759,2.61,True,0.6339,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,15.6,0.4804,0.796,0.2803,2.54,True,0.6321,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,15.8,0.4806,0.803,0.2846,2.47,True,0.6343,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,16.0,0.481,0.81,0.289,2.4,True,0.6545,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,16.2,0.4814,0.817,0.2933,2.33,True,0.6902,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,16.4,0.4819,0.824,0.2977,2.26,True,0.7223,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,16.6,0.4825,0.831,0.3022,2.19,True,0.7519,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,16.8,0.4831,0.838,0.3066,2.12,True,0.7799,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,17.0,0.4838,0.845,0.3111,2.05,True,0.8064,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,17.2,0.4846,0.852,0.3155,1.98,True,0.832,HIGH,STOP,0.5,MEDIUM,TURN_RIGHT_SLOW,False,False
frontal_static_obstacle,17.4,0.4854,0.859,0.32,1.91,True,0.8365,HIGH,STOP,0.75,HIGH,STOP,True,True
frontal_static_obstacle,17.6,0.4863,0.866,0.3245,1.84,True,0.8388,HIGH,STOP,0.75,HIGH,STOP,True,True
frontal_static_obstacle,17.8,0.4873,0.873,0.3291,1.77,True,0.841,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,18.0,0.4882,0.88,0.3336,1.7,True,0.8432,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,18.2,0.4893,0.887,0.3382,1.63,True,0.8453,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,18.4,0.4904,0.894,0.3427,1.56,True,0.846,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,18.6,0.4915,0.901,0.3473,1.49,True,0.8461,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,18.8,0.4926,0.908,0.352,1.42,True,0.8462,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,19.0,0.4938,0.915,0.3566,1.35,True,0.8463,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,19.2,0.495,0.922,0.3612,1.28,True,0.8465,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,19.4,0.4963,0.929,0.3659,1.21,True,0.8466,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,19.6,0.4975,0.936,0.3706,1.14,True,0.8467,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,19.8,0.4987,0.943,0.3753,1.07,True,0.8468,HIGH,STOP,0.85,HIGH,STOP,True,True
frontal_static_obstacle,20.0,0.5,0.95,0.38,1.0,True,0.847,HIGH,STOP,0.85,HIGH,STOP,True,True
crossing_left_to_right,0.0,0.12,0.42,0.07,7.0,False,0.15,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,0.2,0.1276,0.4269,0.0741,6.8806,False,0.1514,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,0.4,0.1352,0.4338,0.0782,6.7614,False,0.1528,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,0.6,0.1428,0.4407,0.0822,6.6424,False,0.1543,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,0.8,0.1504,0.4476,0.0863,6.5237,False,0.1558,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,1.0,0.158,0.4544,0.0903,6.4055,False,0.1572,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,1.2,0.1656,0.4612,0.0944,6.288,False,0.1587,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,1.4,0.1732,0.468,0.0984,6.1711,False,0.1602,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,1.6,0.1808,0.4747,0.1023,6.055,False,0.16,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,1.8,0.1884,0.4814,0.1063,5.9398,False,0.1873,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,2.0,0.196,0.488,0.1102,5.8257,False,0.2118,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,2.2,0.2036,0.4945,0.114,5.7128,False,0.217,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,2.4,0.2112,0.501,0.1179,5.6011,False,0.2221,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,2.6,0.2188,0.5074,0.1216,5.4908,False,0.227,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,2.8,0.2264,0.5137,0.1254,5.382,False,0.2316,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,3.0,0.234,0.5199,0.129,5.2748,False,0.2413,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,3.2,0.2416,0.526,0.1326,5.1693,False,0.2531,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,3.4,0.2492,0.532,0.1362,5.0656,False,0.2652,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,3.6,0.2568,0.5379,0.1397,4.9639,False,0.2774,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,3.8,0.2644,0.5437,0.1431,4.8641,False,0.2896,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,4.0,0.272,0.5493,0.1464,4.7664,False,0.3018,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,4.2,0.2796,0.5548,0.1497,4.671,False,0.3141,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,4.4,0.2872,0.5602,0.1529,4.5778,False,0.3264,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,4.6,0.2948,0.5655,0.156,4.487,False,0.3387,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,4.8,0.3024,0.5706,0.159,4.3987,False,0.3509,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,5.0,0.31,0.5756,0.1619,4.313,False,0.363,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,5.2,0.3176,0.5804,0.1648,4.2299,False,0.3749,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,5.4,0.3252,0.585,0.1675,4.1496,False,0.383,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,5.6,0.3328,0.5895,0.1702,4.072,False,0.3908,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,5.8,0.3404,0.5938,0.1727,3.9974,False,0.3991,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,6.0,0.348,0.598,0.1752,3.9257,False,0.4083,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,6.2,0.3556,0.602,0.1775,3.8571,False,0.4183,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,6.4,0.3632,0.6058,0.1798,3.7916,False,0.4297,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,6.6,0.3708,0.6094,0.1819,3.7292,False,0.4434,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,6.8,0.3784,0.6128,0.1839,3.67,False,0.45,MEDIUM,TURN_RIGHT_SLOW,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,7.0,0.386,0.616,0.1858,3.6142,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,7.2,0.3936,0.6191,0.1876,3.5617,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,7.4,0.4012,0.6219,0.1893,3.5125,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,7.6,0.4088,0.6246,0.1909,3.4668,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,7.8,0.4164,0.627,0.1923,3.4247,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,8.0,0.424,0.6292,0.1936,3.386,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,8.2,0.4316,0.6313,0.1948,3.3509,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,8.4,0.4392,0.6331,0.1959,3.3194,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,8.6,0.4468,0.6347,0.1969,3.2915,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,8.8,0.4544,0.6361,0.1977,3.2673,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,9.0,0.462,0.6373,0.1984,3.2468,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,9.2,0.4696,0.6383,0.199,3.23,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,9.4,0.4772,0.639,0.1994,3.2169,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,9.6,0.4848,0.6396,0.1997,3.2075,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,9.8,0.4924,0.6399,0.1999,3.2019,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,10.0,0.5,0.64,0.2,3.2,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,10.2,0.5076,0.6399,0.1999,3.2019,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,10.4,0.5152,0.6396,0.1997,3.2075,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,10.6,0.5228,0.639,0.1994,3.2169,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,10.8,0.5304,0.6383,0.199,3.23,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,11.0,0.538,0.6373,0.1984,3.2468,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,11.2,0.5456,0.6361,0.1977,3.2673,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,11.4,0.5532,0.6347,0.1969,3.2915,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,11.6,0.5608,0.6331,0.1959,3.3194,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,11.8,0.5684,0.6313,0.1948,3.3509,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,12.0,0.576,0.6292,0.1936,3.386,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.5,MEDIUM,TURN_RIGHT_SLOW,True,True
crossing_left_to_right,12.2,0.5836,0.627,0.1923,3.4247,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,12.4,0.5912,0.6246,0.1909,3.4668,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,12.6,0.5988,0.6219,0.1893,3.5125,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,12.8,0.6064,0.6191,0.1876,3.5617,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,13.0,0.614,0.616,0.1858,3.6142,True,0.45,MEDIUM,TURN_RIGHT_SLOW,0.45,MEDIUM,SLOW_DOWN,True,False
crossing_left_to_right,13.2,0.6216,0.6128,0.1839,3.67,False,0.339,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,13.4,0.6292,0.6094,0.1819,3.7292,False,0.3181,MEDIUM,SLOW_DOWN,0.15,LOW,HOLD_COURSE,False,False
crossing_left_to_right,13.6,0.6368,0.6058,0.1798,3.7916,False,0.2957,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
crossing_left_to_right,13.8,0.6444,0.602,0.1775,3.8571,False,0.2718,LOW,HOLD_COURSE,0.15,LOW,HOLD_COURSE,True,True
